,symbol,product,ticker2,currency,instrument,region,exchange
199,329180,HD HYUNDAI HEAVY INDUSTRIES,1FD5Z,KRW,FUT,KR,KSE
200,3328,BANK OF COMMUNICATIONS CO-H,BCMJ4,HKD,FUT,HK,HKFE
201,361610,SK IE TECHNOLOGY CO LTD,1FB4U,KRW,FUT,KR,KSE
202,361610,SK IE TECHNOLOGY CO LTD,1FB4Z,KRW,FUT,KR,KSE
203,361610,SK IE TECHNOLOGY CO LTD,1FB5Z,KRW,FUT,KR,KSE
204,3690,MEITUAN-CLASS B,METH4,HKD,FUT,HK,HKFE
205,373220,LG ENERGY SOLUTION,1F54K,KRW,FUT,KR,KSE
206,375500,DL E&amp;C CO LTD,1ER4K,KRW,FUT,KR,KSE
207,377300,KAKAO PAY CORP,1F74U,KRW,FUT,KR,KSE
208,377300,KAKAO PAY CORP,1F74Z,KRW,FUT,KR,KSE
209,377300,KAKAO PAY CORP,1F75Z,KRW,FUT,KR,KSE
210,383220,F&amp;F CO LTD / NEW,1FG4J,KRW,FUT,KR,KSE
211,386,CHINA PETROLEUM &amp; CHEMICAL-H,CPCJ4,HKD,FUT,HK,HKFE
212,3888,KINGSOFT CORP LTD,KSOK4,HKD,FUT,HK,HKFE
213,3988,BANK OF CHINA LTD-H,BCLK4,HKD,FUT,HK,HKFE
214,3993,CMOC GROUP LTD-H,MOLM4,HKD,FUT,HK,HKFE
215,3KTB,3-Year Korea Treasury Bond,1654M,KRW,FUT,KR,KSE
216,402340,SK SQUARE CO LTD,1FE4K,KRW,FUT,KR,KSE
217,6030,CITIC SECURITIES CO LTD-H,CTSU4,HKD,FUT,HK,HKFE
218,66,MTR CORP,MTRU4,HKD,FUT,HK,HKFE
219,6618,JD HEALTH INTERNATIONAL INC.,JDHJ4,HKD,FUT,HK,HKFE
220,6837,HAITONG SECURITIES CO LTD-H,HAIU4,HKD,FUT,HK,HKFE
221,6862,HAIDILAO INTERNATIONAL HOLDI,HDOJ4,HKD,FUT,HK,HKFE
222,700,TENCENT HOLDINGS LTD,TCHH4,HKD,FUT,HK,HKFE
223,762,CHINA UNICOM HONG KONG LTD,CHUK4,HKD,FUT,HK,HKFE
224,762,CHINA UNICOM HONG KONG LTD,CHUU4,HKD,FUT,HK,HKFE
225,823,LINK REIT,LNKM4,HKD,FUT,HK,HKFE
226,868,XINYI GLASS HOLDINGS LTD,GHLK4,HKD,FUT,HK,HKFE
227,868,XINYI GLASS HOLDINGS LTD,GHLU4,HKD,FUT,HK,HKFE
228,914,ANHUI CONCH CEMENT CO LTD-H,ACCH4,HKD,FUT,HK,HKFE
229,939,CHINA CONSTRUCTION BANK-H,CCBK4,HKD,FUT,HK,HKFE
230,939,CHINA CONSTRUCTION BANK-H,CCBU4,HKD,FUT,HK,HKFE
231,9618,JD.COM INC-CLASS A,JDCH4,HKD,FUT,HK,HKFE
232,9626,BILIBILI INC-CLASS Z,BLIM4,HKD,FUT,HK,HKFE
233,9633,NONGFU SPRING CO LTD-H,NFUM4,HKD,FUT,HK,HKFE
234,968,XINYI SOLAR HOLDINGS LTD,SHLJ4,HKD,FUT,HK,HKFE
235,9868,XPENG INC - CLASS A SHARES,PENH4,HKD,FUT,HK,HKFE
236,9888,BAIDU INC-CLASS A,BIUJ4,HKD,FUT,HK,HKFE
237,9898,WEIBO CORP-CLASS A,WEBM4,HKD,FUT,HK,HKFE
238,9961,TRIP.COM GROUP LTD,TRPK4,HKD,FUT,HK,HKFE
239,998,CHINA CITIC BANK CORP LTD-H,CTBM4,HKD,FUT,HK,HKFE
240,9999,NETEASE INC,NTEH4,HKD,FUT,HK,HKFE
241,AJ,SGX Australian Dollar in Japanese Yen Futures,AJV24,JPY,FUT,SG,SGX
242,AJ,SGX Australian Dollar in Japanese Yen Futures,AJX24,JPY,FUT,SG,SGX
243,AJ,SGX Australian Dollar in Japanese Yen Futures,AJK24,JPY,FUT,SG,SGX
244,APOLLOTYR,APOLLO TYRES LIMITED,APOLLOTYRE24APRFUT,INR,FUT,IN,NSE
245,ASIANPAIN,ASIAN PAINTS LTD,ASIANPAINT24MAYFUT,INR,FUT,IN,NSE
246,ASIANPAIN,ASIAN PAINTS LTD,ASIANPAINT24MARFUT,INR,FUT,IN,NSE
247,AUROPHARM,AUROBINDO PHARMA LTD,ZARBH24,USD,FUT,SG,SGX
248,AUROPHARM,AUROBINDO PHARMA LTD,ZARBK24,USD,FUT,SG,SGX
249,AXISBANK,AXIS BANK LTD,ZAXSH24,USD,FUT,SG,SGX
250,AXISBANK,AXIS BANK LTD,ZAXSM24,USD,FUT,SG,SGX
251,BAJAJ-AUT,BAJAJ AUTO LIMITED,ZBJAH24,USD,FUT,SG,SGX
252,BAJAJFINS,BAJAJ FINSERV LTD,BAJAJFINSV24MAYFUT,INR,FUT,IN,NSE
253,BAJFINANC,BAJAJ FINANCE LTD,ZBAFJ24,USD,FUT,SG,SGX
254,BALKRISIN,BALKRISHNA INDUSTRIES LTD,BALKRISIND24MARFUT,INR,FUT,IN,NSE
255,BEL,BHARAT ELECTRONICS LTD,BEL24APRFUT,INR,FUT,IN,NSE
256,BEL,BHARAT ELECTRONICS LTD,BEL24MAYFUT,INR,FUT,IN,NSE
257,BERGEPAIN,BERGER PAINTS INDIA LTD,BERGEPAINT24MARFUT,INR,FUT,IN,NSE
258,BERGEPAIN,BERGER PAINTS INDIA LTD,BERGEPAINT24APRFUT,INR,FUT,IN,NSE
259,BN4,KEPPEL LTD,YKEPZ24,SGD,FUT,SG,SGX
260,BOSCHLTD,BOSCH LIMITED,ZBOSH24,USD,FUT,SG,SGX
261,BOSCHLTD,BOSCH LIMITED,BOSCHLTD24MAYFUT,INR,FUT,IN,NSE
262,BOSCHLTD,BOSCH LIMITED,ZBOSM24,USD,FUT,SG,SGX
